name,slug, years,date_of_information,ranking,region
"Monaco","monaco","89.6","2023",1,"Europe"
"San Marino","san-marino","84.1","2023",5,"Europe"
"Switzerland","switzerland","83.8","2023",7,"Europe"
"Iceland","iceland","83.8","2023",9,"Europe"
"Andorra","andorra","83.6","2023",10,"Europe"
"Guernsey","guernsey","83.4","2023",11,"Europe"
"Malta","malta","83.4","2023",12,"Europe"
"Luxembourg","luxembourg","83.2","2023",14,"Europe"
"Norway","norway","83","2023",16,"Europe"
"Jersey","jersey","82.8","2023",17,"Europe"
"Spain","spain","82.8","2023",18,"Europe"
"Italy","italy","82.8","2023",19,"Europe"
"Sweden","sweden","82.8","2023",20,"Europe"
"Liechtenstein","liechtenstein","82.8","2023",21,"Europe"
"France","france","82.5","2023",23,"Europe"
"Austria","austria","82.5","2023",24,"Europe"
"Isle of Man","isle-of-man","82.3","2023",27,"Europe"
"Ireland","ireland","82.2","2023",29,"Europe"
"Belgium","belgium","82.1","2023",31,"Europe"
"United Kingdom","united-kingdom","82.1","2023",32,"Europe"
"Finland","finland","82","2023",33,"Europe"
"Slovenia","slovenia","82","2023",34,"Europe"
"Denmark","denmark","81.9","2023",36,"Europe"
"Portugal","portugal","81.7","2023",37,"Europe"
"Germany","germany","81.7","2023",38,"Europe"
"Netherlands","netherlands","81.7","2023",39,"Europe"
"Greece","greece","81.7","2023",40,"Europe"
"Faroe Islands","faroe-islands","81.5","2023",42,"Europe"
"Gibraltar","gibraltar","80.7","2023",49,"Europe"
"Cyprus","cyprus","80","2023",53,"Europe"
"Albania","albania","79.7","2023",60,"Europe"
"Czechia","czechia","78.3","2023",75,"Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","78.2","2023",78,"Europe"
"Estonia","estonia","78.1","2023",79,"Europe"
"Montenegro","montenegro","78","2023",80,"Europe"
"Croatia","croatia","77.5","2023",86,"Europe"
"North Macedonia","north-macedonia","77.1","2023",92,"Europe"
"Slovakia","slovakia","76.6","2023",98,"Europe"
"Romania","romania","76.3","2023",104,"Europe"
"Latvia","latvia","76.2","2023",107,"Europe"
"Lithuania","lithuania","76","2023",111,"Europe"
"Poland","poland","75.8","2023",115,"Europe"
"Bulgaria","bulgaria","75.8","2023",117,"Europe"
"Hungary","hungary","75.3","2023",124,"Europe"
"Serbia","serbia","75.1","2023",126,"Europe"
"Belarus","belarus","74.6","2023",136,"Europe"
"Kosovo","kosovo","72.2","2023",160,"Europe"
"Ukraine","ukraine","69.8","2023",178,"Europe"
"Moldova","moldova","69.7","2023",179,"Europe"